Ticker,SimFinId,Fiscal_Year,Cash_and_ST_Investments,Total_Current_Assets,Total_Current_Liabilities,Short_Term_Debt,Long_Term_Debt,Total_Assets,Total_Liabilities,Total_Equity,Property_Plant_Equipment,Retained_Earnings
A,45846,2020,1441000000,3415000000,1467000000,75000000,2284000000,9627000000,4754000000,4873000000,845000000,81000000
A,45846,2021,1575000000,3799000000,1708000000,,2729000000,10705000000,5316000000,5389000000,945000000,348000000
A,45846,2022,1053000000,3778000000,1861000000,36000000,2733000000,10532000000,5227000000,5305000000,1100000000,324000000
A,45846,2023,1590000000,4186000000,1603000000,,2735000000,10763000000,4918000000,5845000000,1270000000,782000000
A,45846,2024,1329000000,3959000000,1895000000,45000000,3345000000,11846000000,5948000000,5898000000,1778000000,750000000
A21,1333027,2020,8938341000,31391109000,4309221000,,511638000,36373276000,6569679000,29803597000,2478687000,-6482225000
A21,1333027,2021,27854224000,52380414000,12108252000,37042000,5960899000,61848913000,20784611000,41064302000,4498269000,-6805635000
AA,367153,2020,1607000000,4520000000,2761000000,2000000,2463000000,14860000000,9844000000,5016000000,7190000000,-725000000
AA,367153,2021,1814000000,5026000000,3223000000,1000000,1726000000,15025000000,8741000000,6284000000,6623000000,-315000000
AA,367153,2022,1363000000,5250000000,3004000000,1000000,1806000000,14756000000,8167000000,6589000000,6493000000,-570000000
AA,367153,2023,944000000,4405000000,3030000000,79000000,1732000000,14155000000,8310000000,5845000000,6785000000,-1293000000
AA,367153,2024,1138000000,4914000000,3395000000,75000000,2470000000,14064000000,8907000000,5157000000,6389000000,-1323000000
AAC,7962652,2021,749510,1285892,3523316,,,1001570671,70227838,931342833,,-68659667
AAC,7962652,2022,37982,95559,9675694,,,1013478050,61151627,952326423,,-60958568
AACG,18712193,2021,11156711,11792869,41908982,,,79316782,49462141,29854640,5708831,-48505076
AACG,18712193,2022,7733406,9179697,41148451,,,66737276,46550854,20186422,4608094,-50362454
AACG,18712193,2023,8352680,9779470,43646741,6822678,,62323712,46640203,15683508,4197492,-54378795
AACG,18712193,2024,5080295,9269228,49308447,7841182,,63556179,52477813,11078366,5382700,-59505696
AACI,11820349,2021,657590,917170,209027,,,151119504,209027,150910477,,-468899
AACT,14122297,2023,1905123,2415073,5279133,5000000,,525453425,22779133,502674292,,-20265310
AACT,14122297,2024,16709000,21699000,90519000,16792000,17574000,35561000,115748000,-80187000,6723000,-268144000
AAGH,12444287,2020,166,3894,218901,,,3894,218901,-215007,,-3286642
AAGH,12444287,2021,396136,482720,432431,,582159,623018,1090845,-467827,12671,-3555696
AAGH,12444287,2022,62643,204803,2757422,183932,1032138,336143,4196624,-3860481,23618,-8421849
AAGH,12444287,2023,54150,187683,2903393,727003,1524788,299129,4669965,-4370836,57692,-9028110
AAGH,12444287,2024,54943,225479,3593468,606978,1833577,323478,5635077,-5311599,42903,-10248681
AAIC,9076064,2020,55456000,1046851000,794446000,139013000,166654000,1212389000,966119000,246270000,,-1830272000
AAIC,9076064,2021,46765000,685172000,446624000,,125680000,803036000,578909000,224127000,60889000,-1842703000
AAIC,9076064,2022,132458000,952511000,515510000,,255750000,1002318000,784978000,217340000,,-1840061000
AAL,68568,2020,6864000000,11095000000,16569000000,2797000000,29796000000,62008000000,68875000000,-6867000000,31699000000,-6664000000
AAL,68568,2021,12431000000,17336000000,19006000000,2489000000,35571000000,66467000000,73807000000,-7340000000,29537000000,-8638000000
AAL,68568,2022,8965000000,15269000000,20031000000,3274000000,32389000000,64716000000,70515000000,-5799000000,30200000000,-8511000000
AAL,68568,2023,7578000000,13572000000,22062000000,3632000000,29270000000,63058000000,68260000000,-5202000000,30764000000,-7689000000
AAL,68568,2024,6984000000,13154000000,24295000000,5322000000,25154000000,61783000000,65760000000,-3977000000,31127000000,-6843000000
AAM,18508049,2024,417897,693805,674061,,,354034505,9299061,344735444,,-8604677
AAMC,847094,2020,92306000,96614000,13104000,74957,598652,99752000,266988800,-166894235,656169,63426000
AAMC,847094,2021,78349000,78349000,4597150,,860700,81476000,157728965,-76439755,825565,57450000
AAMC,847094,2022,10727000,22320000,11672000,51759353,1324192,117647000,207631179,-89931690,83143000,41516000
AAMC,847094,2023,8713000,13169000,6270000,,901371,25539000,151393604,-125835549,5633000,8970000
AAN,441241,2020,76123000,898160015,362398216,,279979093,1353457000,642132000,711325000,438958357,1881000
AAN,441241,2021,22832000,915409708,402962209,,319703812,1441265000,723099000,718166000,510075530,98546000
AAN,441241,2022,27716000,861382000,423912708,23471367,739879379,1858463000,1163061000,695402000,725655218,79073000
AAN,441241,2023,59035000,822443275,444198157,6397601,696683332,1826576000,1140438000,686138000,735913981,66202000
AAOI,671827,2020,43425000,209169000,103148000,38265000,91758000,480805000,202914000,277891000,252984000,-88509000
AAOI,671827,2021,34656000,194079000,108957000,49689000,83680000,454459000,199889000,254570000,243035000,-142671000
AAOI,671827,2022,24685000,183164000,126245000,57074000,91843000,408263000,223593000,184670000,210184000,-209068000
AAOI,671827,2023,45366000,172605000,77876000,23483000,91715000,389186000,174317000,214869000,200317000,-265116000
AAOI,671827,2024,67428000,301268000,150810000,22370000,158069000,547032000,317920000,229112000,219235000,-451851000
AAON,919501,2020,79025000,220251000,59033000,,,449008000,98143000,350865000,223340000,345495000
AAON,919501,2021,2859000,218080000,86768000,,40000000,650180000,184010000,466170000,258062000,384306000
AAON,919501,2022,5451000,349116000,145567000,,71004000,813903000,253189000,560714000,304745000,461657000
AAON,919501,2023,287000,408954000,126749000,,38328000,941436000,206212000,735224000,369947000,612835000
AAON,919501,2024,14000,488212000,174905000,16000000,138891000,1175234000,350652000,824582000,510356000,755310000
AAP,184955,2020,834992000,6270001000,4743915000,,1032984000,11839636000,8280124000,3559512000,1462602000,4196634000
AAP,184955,2021,601428000,6275476000,5180307000,,1034320000,12194209000,9065918000,3128291000,1528311000,4605791000
AAP,184955,2022,270805000,6014817000,5420851000,185000000,1188283000,11986447000,9387255000,2599192000,1690139000,4665087000
AAP,184955,2023,488049000,6377021000,5307405000,,1786361000,12276326000,9756598000,2519728000,1555985000,4559139000
AAP,184955,2024,1869000000,6143000000,4665000000,,1789000000,10798000000,8628000000,2170000000,1334000000,4163000000
AAPL,111052,2020,90943000000,1.43713E+11,2.04059E+11,1.12436E+11,,3.23888E+11,2.58549E+11,65339000000,36766000000,14966000000
AAPL,111052,2021,62639000000,1.34836E+11,1.25481E+11,15613000000,1.09106E+11,3.51002E+11,2.87912E+11,63090000000,39440000000,5562000000
