Ticker,SimFinId,Fiscal_Year,Revenue,Cost_of_Revenue,Gross_Profit,Operating_Expenses,Operating_Income,Net_Interest_Expense,Net_Income_Tax,Net_Income,Common_Net_Income,Basic_Shares,Diluted_Shares,Research_Development,Depreciation_Amortization
A,45846,2020,5339000000.0,-2502000000.0,2837000000.0,-1991000000.0,846000000.0,-70000000.0,-123000000.0,719000000,719000000,309000000.0,312000000.0,-495000000.0,
A,45846,2021,6319000000.0,-2912000000.0,3407000000.0,-2060000000.0,1347000000.0,-79000000.0,-150000000.0,1210000000,1210000000,305000000.0,307000000.0,-441000000.0,
A,45846,2022,6848000000.0,-3126000000.0,3722000000.0,-2104000000.0,1618000000.0,-75000000.0,-250000000.0,1254000000,1254000000,304000000.0,307000000.0,-467000000.0,
A,45846,2023,6833000000.0,-3368000000.0,3465000000.0,-2115000000.0,1350000000.0,-44000000.0,-99000000.0,1240000000,1240000000,294000000.0,296000000.0,-481000000.0,
A,45846,2024,6510000000.0,-2975000000.0,3535000000.0,-2047000000.0,1488000000.0,-16000000.0,-232000000.0,1289000000,1289000000,290000000.0,291000000.0,-479000000.0,
A21,1333027,2020,9456609000.0,-7907270000.0,1549339000.0,-2218676000.0,-669337000.0,-66916000.0,22847000.0,-151657000,-791985000,1853320448.0,2115376392.0,-1099857000.0,
A21,1333027,2021,4186125184.0,-3293183125.0,892942059.0,-1050611949.0,-157669889.0,-9801905.0,-26137226.0,-49820876,-49820876,1853320448.0,1853320448.0,-509342773.0,
AA,367153,2020,9286000000.0,-7969000000.0,1317000000.0,-886000000.0,431000000.0,-146000000.0,-187000000.0,-170000000,-170000000,186000000.0,186000000.0,-27000000.0,-653000000.0
AA,367153,2021,12152000000.0,-9153000000.0,2999000000.0,-922000000.0,2077000000.0,-195000000.0,-629000000.0,429000000,429000000,185663439.0,185663439.0,-31000000.0,-664000000.0
AA,367153,2022,12451000000.0,-10212000000.0,2239000000.0,-853000000.0,1386000000.0,-106000000.0,-664000000.0,-123000000,-123000000,186377853.0,189907737.0,-32000000.0,-617000000.0
AA,367153,2023,10551000000.0,-9813000000.0,738000000.0,-897000000.0,-159000000.0,-107000000.0,-189000000.0,-651000000,-651000000,178000000.0,178000000.0,-39000000.0,-632000000.0
AA,367153,2024,11895000000.0,-10044000000.0,1851000000.0,-974000000.0,877000000.0,-156000000.0,-265000000.0,60000000,60000000,212000000.0,214000000.0,-57000000.0,-642000000.0
AAC,7962652,2021,,,,-6461616.0,-6461616.0,,,15849072,15849072,125000000.0,125000000.0,,
AAC,7962652,2022,,,,-7342712.0,-7342712.0,,,20983590,20983590,100000000.0,100000000.0,,
AACG,18712193,2021,31339543.0,-15097748.0,16241794.0,-26531204.0,-10289409.0,172139.0,238612.0,-5215200,-5215200,62748095.0,62748095.0,-1829068.0,
AACG,18712193,2022,30734056.0,-15501575.0,15232481.0,-23641374.0,-8408893.0,112474.0,879931.0,-7116996,-7116996,62753840.0,62753840.0,-1009127.0,
AACG,18712193,2023,31325480.0,-15118870.0,16206610.0,-22071988.0,-5865378.0,138313.0,962823.0,-4757820,-4757820,62789811.0,62789811.0,-654426.0,
AACG,18712193,2024,37291384.0,-17639207.0,19652176.0,-25640295.0,-5988119.0,139357.0,890575.0,-5021768,-5021768,62978139.0,62978139.0,-515170.0,
AACI,11820349,2021,,,,-184105.0,-184105.0,1052.0,,-468899,-468899,5709500.0,20709500.0,,
AACT,14122297,2023,,,,-1122892.0,-1122892.0,,,16915460,16915460,46883562.0,46883562.0,,
AACT,14122297,2024,,,,-1775527.0,-1775527.0,,,25986159,25986159,62500000.0,62500000.0,,
AAGH,12444287,2020,5474.0,-3369.0,2105.0,-48256.0,-46151.0,-4965.0,-800.0,-51916,-51916,20236021836.0,20236021836.0,,
AAGH,12444287,2021,195671.0,-144318.0,51353.0,-294913.0,-243560.0,-20044.0,,-269054,-269054,20438554050.0,20438554050.0,,
AAGH,12444287,2022,104648.0,-1588453.0,-1483805.0,-3250293.0,-4734098.0,-190911.0,,-4866153,-4866153,21090049276.0,21090049276.0,,
AAGH,12444287,2023,204308.0,-35720.0,168588.0,-661232.0,-492644.0,-319679.0,,-761420,-761420,21093402806.0,21093402806.0,,
AAGH,12444287,2024,294670.0,-124920.0,169750.0,-952450.0,-782700.0,-443662.0,,-1220571,-1220571,21123253567.0,21123253567.0,,
AAIC,9076064,2020,46014000.0,,,-12615000.0,33399000.0,-22916000.0,,-67716000,-70707000,35343000.0,35343000.0,,
